Vivado Simulator 2020.2
Time resolution is 1 ps
[5565000] Count:         108 Maxpool_Debug = 0a35
[5575000] Count:         455 Conv_Debug = 0000
[5585000] Count:         456 Conv_Debug = 0000
[5585000] Count:         109 Maxpool_Debug = 0000
[5595000] Count:         457 Conv_Debug = 0000
[5605000] Count:         458 Conv_Debug = 0000
[5605000] Count:         110 Maxpool_Debug = 0000
[5615000] Count:         459 Conv_Debug = 0123
[5625000] Count:         460 Conv_Debug = 0f87
[5625000] Count:         111 Maxpool_Debug = 0000
[5635000] Count:         461 Conv_Debug = 103f
[5645000] Count:         462 Conv_Debug = 0571
[5645000] Count:         112 Maxpool_Debug = 0000
[5655000] Count:         463 Conv_Debug = 0000
[5665000] Count:         464 Conv_Debug = 0000
[5665000] Count:         113 Maxpool_Debug = 0f87
[5675000] Count:         465 Conv_Debug = 0000
[5685000] Count:         466 Conv_Debug = 0000
[5685000] Count:         114 Maxpool_Debug = 10c8
[5695000] Count:         467 Conv_Debug = 0000
[5705000] Count:         468 Conv_Debug = 0000
[5705000] Count:         115 Maxpool_Debug = 0000
[5725000] Count:         116 Maxpool_Debug = 0000
[5735000] Count:         469 Conv_Debug = 0000
[5745000] Count:         470 Conv_Debug = 0000
[5745000] Count:         117 Maxpool_Debug = 0000
[5755000] Count:         471 Conv_Debug = 0000
[5765000] Count:         472 Conv_Debug = 0000
